Deutsch,Wissenschaftlich,Macaulay Library
Habicht,Accipiter gentilis,norgos
Sperber,Accipiter nisus,eurspa1
Schwanzmeise,Aegithalos caudatus,lottit1
Nilgans,Alopochen aegyptiaca,egygoo
Stockente,Anas platyrhynchos,mallar3
Mauersegler,Apus apus,comswi
Waldohreule,Asio otus,loeowl
Uhu,Bubo bubo,eueowl1
Maeusebussard,Buteo buteo,combuz1
Stieglitz,Carduelis carduelis,eurgol
Gartenbaumlaeufer,Certhia brachydactyla,shttre1
Waldbaumlaeufer,Certhia familiaris,eurtre1
Gruenfink,Chloris chloris,eurgre1
Kernbeisser,Coccothraustes coccothraustes,hawfin
Hohltaube,Columba oenas,stodov1
Ringeltaube,Columba palumbus,cowpig1
Kolkrabe,Corvus corax,comrav
Rabenkraehe,Corvus corone,carcro1
Dohle,Corvus monedula,eurjac
Kuckuck,Cuculus canorus,comcuc
Buntspecht,Dendrocopos major,grswoo
Mittelspecht,Dendrocoptes medius,miswoo1
Kleinspecht,Dryobates minor,leswoo1
Schwarzspecht,Dryocopus martius,blawoo1
Grauammer,Emberiza calandra,corbun1
Goldammer,Emberiza citrinella,yellow2
Rotkehlchen,Erithacus rubecula,eurrob1
Baumfalke,Falco subbuteo,eurhob
Turmfalke,Falco tinnunculus,eurkes
Trauerschnaepper,Ficedula hypoleuca,eupfly1
Buchfink,Fringilla coelebs,comcha
Bergfink,Fringilla montifringilla,brambl
Eichelhaeher,Garrulus glandarius,eurjay1
Gelbspoetter,Hippolais icterina,ictwar1
Rauchschwalbe,Hirundo rustica,barswa
Neuntoeter,Lanius collurio,rebshr1
Bluthaenfling,Linaria cannabina,eurlin1
Haubenmeise,Lophophanes cristatus,cretit2
Fichtenkreuzschnabel,Loxia curvirostra,redcro
Nachtigall,Luscinia megarhynchos,comnig1
Schwarzmilan,Milvus migrans,blakit1
Rotmilan,Milvus milvus,redkit1
Bachstelze,Motacilla alba,whiwag
Grauschnaepper,Muscicapa striata,spofly1
Pirol,Oriolus oriolus,eugori2
Blaumeise,Parus caeruleus,blutit
Kohlmeise,Parus major,gretit1
Sumpfmeise,Parus palustris,martit2
Haussperling,Passer domesticus,houspa
Tannenmeise,Periparus ater,coatit2
Wespenbussard,Pernis apivorus,euhbuz1
Jagdfasan,Phasianus colchicus,rinphe
Hausrotschwanz,Phoenicurus ochruros,blared1
Gartenrotschwanz,Phoenicurus phoenicurus,comred2
Zilpzalp,Phylloscopus collybita,comchi1
Waldlaubsaenger,Phylloscopus sibilatrix,woowar
Fitis,Phylloscopus trochilus,wlwwar
Elster,Pica pica,eurmag1
Grauspecht,Picus canus,gyfwoo1
Gruenspecht,Picus viridis,eugwoo2
Weidenmeise,Poecile montanus,wiltit1
Heckenbraunelle,Prunella modularis,dunnoc1
Gimpel,Pyrrhula pyrrhula,eurbul
Sommergoldhaehnchen,Regulus ignicapilla,firecr1
Wintergoldhaehnchen,Regulus regulus,goldcr1
Kleiber,Sitta europaea,eurnut2
Erlenzeisig,Spinus spinus,eursis
Tuerkentaube,Streptopelia decaocto,eucdov
Waldkauz,Strix aluco,tawowl1
Star,Sturnus vulgaris,eursta
Moenchsgrasmuecke,Sylvia atricapilla,blackc1
Gartengrasmuecke,Sylvia borin,garwar1
Dorngrasmuecke,Sylvia communis,grewhi1
Klappergrasmuecke,Sylvia curruca,leswhi4
Haselhuhn,Tetrastes bonasia,hazgro1
Zaunkoenig,Troglodytes troglodytes,winwre4
Amsel,Turdus merula,eurbla
Singdrossel,Turdus philomelos,sonthr1
Wacholderdrossel,Turdus pilaris,fieldf
Misteldrossel,Turdus viscivorus,misthr1
Baumpieper,Anthus trivialis,trepip
Sperlingskauz,Glaucidium passerinum,eupowl1
